CO,HC,Temp,Hum,CO2,TVOC,DD
199,40,33.4,58,561,24,4
195,39,33.7,58,565,25,0
188,42,33.8,58,477,11,0
199,41,33.7,58,581,27,0
200,37,33.7,58,578,27,0
198,43,33.7,58,591,29,0
202,44,33.8,58,618,33,5
195,39,33.8,58,637,36,2
198,40,33.8,58,553,23,0
188,43,33.8,58,586,28,0
199,39,33.8,58,697,45,0
194,39,33.8,59,692,44,183
199,39,33.8,59,714,47,3
199,39,33.8,59,712,47,0
199,39,33.8,59,740,51,0
201,39,33.8,59,754,53,0
199,39,33.8,59,715,47,0
200,43,33.8,60,752,53,29
204,40,33.8,60,783,58,4
200,37,33.8,60,800,60,0
201,43,33.8,60,763,55,19
206,40,33.7,60,710,47,4
201,39,33.7,60,692,44,7
205,44,33.7,59,715,47,20
202,39,33.7,59,732,50,1
203,39,33.7,59,737,51,0
205,44,33.8,59,742,52,3
208,40,33.7,59,757,54,0
204,39,33.6,60,748,53,0
205,43,33.4,60,754,53,1
208,40,33.6,60,778,57,2
205,43,33.3,60,752,53,2
206,40,33.3,60,726,49,0
204,39,33.3,61,774,56,0
205,39,33.3,61,772,56,23
210,42,33.3,61,717,48,0
197,47,33.3,61,668,40,2
209,39,33.3,61,783,58,0
212,40,33.3,61,783,58,2
212,40,33.3,62,763,55,4
209,44,33.3,62,772,56,4
210,44,33.3,62,765,55,4
208,40,33.3,62,748,53,0
216,40,33.3,62,746,52,0
208,40,33.3,62,754,53,0
205,43,33.3,62,746,52,5
207,44,33.3,62,732,50,4
203,44,33.3,62,719,48,1
202,39,33.3,62,757,54,0
207,42,33.3,63,780,57,4
212,40,33.3,63,770,56,8
209,39,33.3,63,776,57,0
215,46,33.3,63,776,57,4
212,37,33.3,63,783,58,0
211,44,33.3,63,772,56,8
215,46,33.3,63,763,55,4
209,39,33.3,63,778,57,0
211,40,33.3,63,776,57,0
208,37,33.3,63,763,55,10
219,40,33.3,63,763,55,4
222,40,33.3,63,763,55,4
215,40,33.3,63,715,47,4
203,41,33.3,63,712,47,0
198,39,33.3,63,710,47,0
194,39,33.3,63,700,45,0
196,43,33.3,63,710,47,1
201,44,33.3,64,732,50,10
200,37,33.3,64,742,52,0
187,43,33.3,64,710,47,2
208,40,33.3,64,817,63,0
212,43,33.3,64,798,60,79
208,39,33.3,64,772,56,0
206,40,33.3,64,791,59,0
204,37,33.3,65,772,56,17
208,40,33.3,65,733,50,8
200,43,33.2,65,643,37,33
211,43,33.2,65,708,46,2
208,39,32.8,66,694,44,1
207,42,33.3,65,702,46,6
203,43,33.2,65,700,45,0
208,45,32.8,66,560,24,3
223,48,32.3,67,675,41,4
201,39,32.4,67,759,54,0
218,48,32.8,67,656,39,127
217,45,32.8,67,672,41,128
214,46,32.8,67,686,43,1
210,40,32.8,67,772,56,28
199,43,32.8,67,717,48,4
206,44,32.8,67,690,44,0
199,39,32.8,67,783,58,0
195,39,32.8,67,757,54,0
193,42,32.8,67,752,53,5
194,42,32.8,67,749,53,5
191,42,32.8,67,749,53,4
191,38,32.8,68,740,51,27
190,41,32.8,67,746,52,2
193,42,32.8,67,827,65,2
192,36,32.8,67,806,61,0
196,40,32.8,68,733,50,4
195,43,32.8,68,785,58,45
191,42,32.8,68,763,55,2
189,39,32.8,68,763,55,0
191,40,32.8,68,759,54,4
190,40,32.8,68,757,54,0
188,40,32.8,68,740,51,0
187,41,32.8,68,740,51,0
187,38,32.8,68,763,55,3
187,38,32.8,68,749,53,12
187,38,32.8,68,704,46,0
191,40,32.8,68,765,55,0
184,35,32.8,68,763,55,55
189,42,32.8,68,752,53,3
188,41,32.8,68,761,54,1
189,38,32.8,68,772,56,0
187,38,32.8,68,770,56,0
188,37,32.8,68,735,51,0
187,38,32.8,68,754,53,0
191,40,32.8,68,752,53,4
187,35,32.8,68,735,51,0
188,36,32.8,68,730,50,0
187,38,32.8,68,730,50,0
188,37,32.8,68,730,50,0
191,43,32.8,68,726,49,2
191,42,32.8,68,697,45,4
187,38,32.8,69,679,42,1
190,40,32.8,69,633,35,0
190,42,32.8,69,686,43,4
183,42,32.8,69,574,26,7
189,35,32.8,69,679,42,0
188,38,32.8,69,679,42,0
187,40,32.8,68,678,42,0
185,38,32.8,68,645,37,0
190,40,32.8,68,675,41,4
187,37,32.7,68,674,41,0
188,40,32.7,68,672,41,0
